patch_index	patch_id	trait_local_index	arcana_trait_axis	locus	allele1_frequency
0	P000	0	0	55	0.69486237402733453
0	P000	0	0	56	0.70223599435862261
0	P000	0	0	57	0.70950587405834498
0	P000	0	0	58	0.71666982270717172
0	P000	0	0	59	0.7237258412600629
0	P000	0	0	60	0.73067212081011346
0	P000	0	0	61	0.73750704075853024
0	P000	0	0	62	0.7442291664243682
0	P000	0	0	63	0.7508372461294941
0	P000	1	1	0	0.24916275387050588
0	P000	1	1	1	0.25577083357563191
0	P000	1	1	2	0.26249295924146981
0	P000	1	1	3	0.26932787918988649
0	P000	1	1	4	0.27627415873993716
0	P000	1	1	5	0.28333017729282822
0	P000	1	1	6	0.29049412594165502
0	P000	1	1	7	0.29776400564137739
0	P000	1	1	8	0.30513762597266536
0	P000	1	1	9	0.31261260453102591
0	P000	1	1	10	0.32018636697001468
0	P000	1	1	11	0.32785614772434418
0	P000	1	1	12	0.33561899143533502
0	P000	1	1	13	0.34347175509743116
0	P000	1	1	14	0.35141111094043836
0	P000	1	1	15	0.35943355005777072
0	P000	1	1	16	0.36753538678633424
0	P000	1	1	17	0.37571276383878471
0	P000	1	1	18	0.38396165818379741
0	P000	1	1	19	0.39227788766474175
0	P000	1	1	20	0.40065711834180712
0	P000	1	1	21	0.40909487253723065
0	P000	1	1	22	0.41758653755790232
0	P000	1	1	23	0.42612737506431303
0	P000	1	1	24	0.43471253104964092
0	P000	1	1	25	0.44333704638779375
0	P000	1	1	26	0.45199586790450574
0	P000	1	1	27	0.46068385992118177
0	P000	1	1	28	0.46939581621714599
0	P000	1	1	29	0.47812647235234096
0	P000	1	1	30	0.4868705182893826
0	P000	1	1	31	0.49562261125124352
0	P000	1	1	32	0.50437738874875648
0	P000	1	1	33	0.51312948171061745
0	P000	1	1	34	0.52187352764765904
0	P000	1	1	35	0.53060418378285412
0	P000	1	1	36	0.53931614007881834
0	P000	1	1	37	0.54800413209549437
0	P000	1	1	38	0.5566629536122063
0	P000	1	1	39	0.56528746895035908
0	P000	1	1	40	0.5738726249356868
0	P000	1	1	41	0.58241346244209757
0	P000	1	1	42	0.59090512746276935
0	P000	1	1	43	0.59934288165819283
0	P000	1	1	44	0.60772211233525819
0	P000	1	1	45	0.61603834181620265
0	P000	1	1	46	0.62428723616121529
0	P000	1	1	47	0.63246461321366576
0	P000	1	1	48	0.64056644994222933
0	P000	1	1	49	0.64858888905956158
0	P000	1	1	50	0.65652824490256889
0	P000	1	1	51	0.66438100856466487
0	P000	1	1	52	0.67214385227565576
0	P000	1	1	53	0.67981363302998532
0	P000	1	1	54	0.68738739546897398
0	P000	1	1	55	0.69486237402733453
0	P000	1	1	56	0.70223599435862261
0	P000	1	1	57	0.70950587405834498
0	P000	1	1	58	0.71666982270717172
0	P000	1	1	59	0.7237258412600629
0	P000	1	1	60	0.73067212081011346
0	P000	1	1	61	0.73750704075853024
0	P000	1	1	62	0.7442291664243682
0	P000	1	1	63	0.7508372461294941
1	P001	0	0	0	0.24916275387050588
1	P001	0	0	1	0.25577083357563191
1	P001	0	0	2	0.26249295924146981
1	P001	0	0	3	0.26932787918988649
1	P001	0	0	4	0.27627415873993716
1	P001	0	0	5	0.28333017729282822
1	P001	0	0	6	0.29049412594165502
1	P001	0	0	7	0.29776400564137739
1	P001	0	0	8	0.30513762597266536
1	P001	0	0	9	0.31261260453102591
1	P001	0	0	10	0.32018636697001468
1	P001	0	0	11	0.32785614772434418
1	P001	0	0	12	0.33561899143533502
1	P001	0	0	13	0.34347175509743116
1	P001	0	0	14	0.35141111094043836
1	P001	0	0	15	0.35943355005777072
1	P001	0	0	16	0.36753538678633424
1	P001	0	0	17	0.37571276383878471
1	P001	0	0	18	0.38396165818379741
1	P001	0	0	19	0.39227788766474175
1	P001	0	0	20	0.40065711834180712
1	P001	0	0	21	0.40909487253723065
1	P001	0	0	22	0.41758653755790232
1	P001	0	0	23	0.42612737506431303
1	P001	0	0	24	0.43471253104964092
1	P001	0	0	25	0.44333704638779375
1	P001	0	0	26	0.45199586790450574
1	P001	0	0	27	0.46068385992118177
1	P001	0	0	28	0.46939581621714599
1	P001	0	0	29	0.47812647235234096
1	P001	0	0	30	0.4868705182893826
1	P001	0	0	31	0.49562261125124352
1	P001	0	0	32	0.50437738874875648
1	P001	0	0	33	0.51312948171061745
1	P001	0	0	34	0.52187352764765904
1	P001	0	0	35	0.53060418378285412
1	P001	0	0	36	0.53931614007881834
1	P001	0	0	37	0.54800413209549437
1	P001	0	0	38	0.5566629536122063
1	P001	0	0	39	0.56528746895035908
1	P001	0	0	40	0.5738726249356868
1	P001	0	0	41	0.58241346244209757
1	P001	0	0	42	0.59090512746276935
1	P001	0	0	43	0.59934288165819283
1	P001	0	0	44	0.60772211233525819
1	P001	0	0	45	0.61603834181620265
1	P001	0	0	46	0.62428723616121529
1	P001	0	0	47	0.63246461321366576
1	P001	0	0	48	0.64056644994222933
1	P001	0	0	49	0.64858888905956158
1	P001	0	0	50	0.65652824490256889
1	P001	0	0	51	0.66438100856466487
1	P001	0	0	52	0.67214385227565576
1	P001	0	0	53	0.67981363302998532
1	P001	0	0	54	0.68738739546897398
1	P001	0	0	55	0.69486237402733453
1	P001	0	0	56	0.70223599435862261
1	P001	0	0	57	0.70950587405834498
1	P001	0	0	58	0.71666982270717172
1	P001	0	0	59	0.7237258412600629
1	P001	0	0	60	0.73067212081011346
1	P001	0	0	61	0.73750704075853024
1	P001	0	0	62	0.7442291664243682
1	P001	0	0	63	0.7508372461294941
1	P001	1	1	0	0.24916275387050588
1	P001	1	1	1	0.25577083357563191
1	P001	1	1	2	0.26249295924146981
1	P001	1	1	3	0.26932787918988649
1	P001	1	1	4	0.27627415873993716
1	P001	1	1	5	0.28333017729282822
1	P001	1	1	6	0.29049412594165502
1	P001	1	1	7	0.29776400564137739
1	P001	1	1	8	0.30513762597266536
1	P001	1	1	9	0.31261260453102591
1	P001	1	1	10	0.32018636697001468
1	P001	1	1	11	0.32785614772434418
1	P001	1	1	12	0.33561899143533502
1	P001	1	1	13	0.34347175509743116
1	P001	1	1	14	0.35141111094043836
1	P001	1	1	15	0.35943355005777072
1	P001	1	1	16	0.36753538678633424
1	P001	1	1	17	0.37571276383878471
1	P001	1	1	18	0.38396165818379741
1	P001	1	1	19	0.39227788766474175
1	P001	1	1	20	0.40065711834180712
1	P001	1	1	21	0.40909487253723065
1	P001	1	1	22	0.41758653755790232
1	P001	1	1	23	0.42612737506431303
1	P001	1	1	24	0.43471253104964092
1	P001	1	1	25	0.44333704638779375
1	P001	1	1	26	0.45199586790450574
1	P001	1	1	27	0.46068385992118177
1	P001	1	1	28	0.46939581621714599
1	P001	1	1	29	0.47812647235234096
1	P001	1	1	30	0.4868705182893826
1	P001	1	1	31	0.49562261125124352
1	P001	1	1	32	0.50437738874875648
1	P001	1	1	33	0.51312948171061745
1	P001	1	1	34	0.52187352764765904
1	P001	1	1	35	0.53060418378285412
1	P001	1	1	36	0.53931614007881834
1	P001	1	1	37	0.54800413209549437
1	P001	1	1	38	0.5566629536122063
1	P001	1	1	39	0.56528746895035908
1	P001	1	1	40	0.5738726249356868
1	P001	1	1	41	0.58241346244209757
1	P001	1	1	42	0.59090512746276935
1	P001	1	1	43	0.59934288165819283
1	P001	1	1	44	0.60772211233525819
1	P001	1	1	45	0.61603834181620265
1	P001	1	1	46	0.62428723616121529
1	P001	1	1	47	0.63246461321366576
1	P001	1	1	48	0.64056644994222933
1	P001	1	1	49	0.64858888905956158
1	P001	1	1	50	0.65652824490256889
1	P001	1	1	51	0.66438100856466487
1	P001	1	1	52	0.67214385227565576
1	P001	1	1	53	0.67981363302998532
1	P001	1	1	54	0.68738739546897398
1	P001	1	1	55	0.69486237402733453
1	P001	1	1	56	0.70223599435862261
1	P001	1	1	57	0.70950587405834498
1	P001	1	1	58	0.71666982270717172
1	P001	1	1	59	0.7237258412600629
1	P001	1	1	60	0.73067212081011346
1	P001	1	1	61	0.73750704075853024
1	P001	1	1	62	0.7442291664243682
1	P001	1	1	63	0.7508372461294941
