Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
29259.5,7,10000,O,Endo,1.29433e+06
29259.5,7,100,C,Ecto,135.936
29259.5,7,1000,C,Ecto,3.33418e+07
29259.5,7,10000,C,Ecto,3.27835e+08
241.332,7,10,H,Ecto,4433.4
241.332,7,100,H,Ecto,43313.7
241.332,7,1000,H,Ecto,0.195409
241.332,7,1000,H,Endo,6.17656e+06
241.332,7,1,O,Ecto,295.279
241.332,7,10,O,Ecto,3.94021e-06
241.332,7,100,O,Ecto,32106.4
241.332,7,1000,O,Ecto,133.117
241.332,7,100,O,Endo,2927.15
241.332,7,1000,O,Endo,11218.8
241.332,7,100,C,Ecto,491435
1801.49,7,10,H,Ecto,2677.98
1801.49,7,100,H,Ecto,6.26005e+06
1801.49,7,1000,H,Ecto,1.10767e+06
1801.49,7,10000,H,Ecto,65.9259
1801.49,7,100,H,Endo,2.10413e+07
1801.49,7,1000,H,Endo,1.0116e+08
1801.49,7,10000,H,Endo,1.39153e+07
1801.49,7,10,O,Ecto,3.52708e-05
1801.49,7,100,O,Ecto,5.6105e+06
1801.49,7,1000,O,Ecto,5.02399e+06
1801.49,7,10000,O,Ecto,64.313
1801.49,7,100,O,Endo,7.18118e+06
1801.49,7,1000,O,Endo,4.57597e+07
1801.49,7,100,C,Ecto,529779
1801.49,7,1000,C,Ecto,1.85804e+07
1801.49,7,10000,C,Ecto,97396.5
923.466,7,10,H,Ecto,68232.4
923.466,7,100,H,Ecto,32086.7
923.466,7,1000,H,Ecto,480.894
923.466,7,100,H,Endo,8.0274e+06
923.466,7,1000,H,Endo,5.46016e+08
923.466,7,10000,H,Endo,6688.23
923.466,7,10,O,Ecto,0.000194117
923.466,7,100,O,Ecto,2.21608e+06
923.466,7,1000,O,Ecto,213551
923.466,7,100,O,Endo,5.49917e+06
923.466,7,1000,O,Endo,2.54304e+06
923.466,7,100,C,Ecto,3.84634e+06
923.466,7,1000,C,Ecto,112419
412.078,7,10,H,Ecto,725258
412.078,7,100,H,Ecto,1.08159e+06
412.078,7,1000,H,Ecto,270.926
412.078,7,100,H,Endo,3.45873e+07
412.078,7,1000,H,Endo,6.52406e+09
412.078,7,10000,H,Endo,5501.22
412.078,7,1,O,Ecto,1608.93
412.078,7,10,O,Ecto,0.00154558
412.078,7,100,O,Ecto,1.40982e+07
412.078,7,1000,O,Ecto,393004
412.078,7,100,O,Endo,2.43387e+07
412.078,7,1000,O,Endo,2.31484e+07
412.078,7,100,C,Ecto,7.56225e+07
412.078,7,1000,C,Ecto,112415
8266.95,7,100,H,Ecto,3.50083e+09
8266.95,7,1000,H,Ecto,2.62938e+09
8266.95,7,10000,H,Ecto,5.65512e+06
8266.95,7,100,H,Endo,4.00798e+09
8266.95,7,1000,H,Endo,2.88465e+10
8266.95,7,10000,H,Endo,3.47871e+09
8266.95,7,100,O,Ecto,2.46073e+09
8266.95,7,1000,O,Ecto,3.62115e+08
8266.95,7,10000,O,Ecto,9.28879e+06
8266.95,7,100,O,Endo,8.73232e+07
8266.95,7,1000,O,Endo,7.64936e+09
8266.95,7,100,C,Ecto,4.05744e+08
8266.95,7,1000,C,Ecto,3.82635e+09
