Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
10582.5,7,100,O,Ecto,2.05833e+08
10582.5,7,1000,O,Ecto,1.07316e+07
10582.5,7,100,O,Endo,3.26288e+08
10582.5,7,1000,O,Endo,3.18649e+08
10582.5,7,100,C,Ecto,5.03931e+07
10582.5,7,1000,C,Ecto,5.79486e+06
10582.5,7,10000,C,Ecto,357372
7077.79,7,100,H,Ecto,7.61497e+08
7077.79,7,1000,H,Ecto,2.73674e+08
7077.79,7,10000,H,Ecto,3.07155e+06
7077.79,7,100,H,Endo,6.25096e+08
7077.79,7,1000,H,Endo,1.13665e+09
7077.79,7,10,O,Ecto,263083
7077.79,7,100,O,Ecto,4.7335e+08
7077.79,7,1000,O,Ecto,3.95157e+08
7077.79,7,10000,O,Ecto,5.59301e+06
7077.79,7,100,O,Endo,1.64117e+08
7077.79,7,1000,O,Endo,7.4059e+08
7077.79,7,100,C,Ecto,8.44404e+07
7077.79,7,1000,C,Ecto,4.57521e+08
7077.79,7,10000,C,Ecto,1.45689e+08
15630.4,7,10,H,Ecto,1.80479e+06
15630.4,7,100,H,Ecto,1.71522e+08
15630.4,7,1000,H,Ecto,5.29339e+06
15630.4,7,100,H,Endo,8.15324e+07
15630.4,7,1000,H,Endo,8.12597e+07
15630.4,7,10,O,Ecto,1.45433e+06
15630.4,7,100,O,Ecto,5.99604e+07
15630.4,7,1000,O,Ecto,1.16607e+07
15630.4,7,100,O,Endo,3.3702e+07
15630.4,7,1000,O,Endo,1.42107e+08
15630.4,7,100,C,Ecto,1.99582e+07
15630.4,7,1000,C,Ecto,4.73649e+06
15630.4,7,10000,C,Ecto,486803
44717.4,7,10,H,Ecto,6.26196e+07
44717.4,7,100,H,Ecto,7.44778e+08
44717.4,7,1000,H,Ecto,5.25105e+06
44717.4,7,100,H,Endo,2.69321e+08
44717.4,7,1000,H,Endo,3.43191e+08
44717.4,7,10,O,Ecto,1.02484e+07
44717.4,7,100,O,Ecto,2.80537e+08
44717.4,7,1000,O,Ecto,1.37472e+07
44717.4,7,100,O,Endo,8.74972e+08
44717.4,7,1000,O,Endo,2.7641e+08
44717.4,7,100,C,Ecto,1.23394e+08
44717.4,7,1000,C,Ecto,4.63798e+06
44717.4,7,10000,C,Ecto,1.15501e+06
10582.5,7,10,H,Ecto,1.9648e+08
10582.5,7,100,H,Ecto,2.74079e+07
10582.5,7,100,H,Endo,202666
